Date,Forecast
2023-05-10,27621.755859375
2023-05-11,27000.7890625
2023-05-12,26804.990234375
2023-05-13,26784.078125
2023-05-14,26930.638671875
2023-05-15,27192.693359375
2023-05-16,27036.650390625
2023-05-17,27398.802734375
2023-05-18,26832.208984375
2023-05-19,26890.12890625
2023-05-20,27129.5859375
2023-05-21,26753.826171875
2023-05-22,26851.27734375
2023-05-23,27225.7265625
2023-05-25,26116.728149871633
2023-05-26,26031.13315971484
2023-05-27,25942.023838976267
2023-05-28,25876.4988230373
2023-05-29,25823.90517885069
2023-05-30,25787.28714315557
2023-05-31,25762.37596057428
2023-06-01,25748.953644042696
2023-06-02,25744.717112839746
2023-06-03,25748.6181335179
2023-06-04,25759.075825977263
2023-06-05,25774.964239643094
2023-06-06,25795.06264695624
2023-06-07,25818.34935202481
